code,region,sub-region
RUS/BLR,Europe,Eastern Europe
AFG,Asia,Southern Asia
YUG,Europe,Southern Europe
AHO,Americas,Latin America and the Caribbean
ALA,Europe,Northern Europe
ALB,Europe,Southern Europe
ALG,Africa,Northern Africa
ASM,Oceania,Polynesia
AND,Europe,Southern Europe
AGO,Africa,Sub-Saharan Africa
AIA,Americas,Latin America and the Caribbean
ATA,,
ATG,Americas,Latin America and the Caribbean
ARG,Americas,Latin America and the Caribbean
ARM,Asia,Western Asia
ABW,Americas,Latin America and the Caribbean
AUS,Oceania,Australia and New Zealand
AUT,Europe,Western Europe
AZE,Asia,Western Asia
BAH,Americas,Latin America and the Caribbean
BHR,Asia,Western Asia
BGD,Asia,Southern Asia
BAR,Americas,Latin America and the Caribbean
BLR,Europe,Eastern Europe
BEL,Europe,Western Europe
BLZ,Americas,Latin America and the Caribbean
BEN,Africa,Sub-Saharan Africa
BMU,Americas,Northern America
BTN,Asia,Southern Asia
BOL,Americas,Latin America and the Caribbean
BES,Americas,Latin America and the Caribbean
BIH,Europe,Southern Europe
BWA,Africa,Sub-Saharan Africa
BVT,Americas,Latin America and the Caribbean
BRA,Americas,Latin America and the Caribbean
IOT,Africa,Sub-Saharan Africa
BRN,Asia,South-eastern Asia
BUL,Europe,Eastern Europe
BFA,Africa,Sub-Saharan Africa
BDI,Africa,Sub-Saharan Africa
CPV,Africa,Sub-Saharan Africa
KHM,Asia,South-eastern Asia
CMR,Africa,Sub-Saharan Africa
CAN,Americas,Northern America
CYM,Americas,Latin America and the Caribbean
CAF,Africa,Sub-Saharan Africa
TCD,Africa,Sub-Saharan Africa
CHI,Americas,Latin America and the Caribbean
CHN,Asia,Eastern Asia
CXR,Oceania,Australia and New Zealand
CCK,Oceania,Australia and New Zealand
COL,Americas,Latin America and the Caribbean
COM,Africa,Sub-Saharan Africa
COG,Africa,Sub-Saharan Africa
COD,Africa,Sub-Saharan Africa
COK,Oceania,Polynesia
CRC,Americas,Latin America and the Caribbean
CIV,Africa,Sub-Saharan Africa
CRO,Europe,Southern Europe
CUB,Americas,Latin America and the Caribbean
CUW,Americas,Latin America and the Caribbean
CYP,Asia,Western Asia
CZE,Europe,Eastern Europe
DEN,Europe,Northern Europe
